,date,close
365,2023-12-27,285189.63
366,2024-01-03,284198.72
367,2024-01-11,284967.16
368,2024-01-17,284708.22
369,2024-01-24,286548.41
370,2024-01-31,287834.05
371,2024-02-07,288148.81
372,2024-02-14,292247.15
373,2024-02-21,292150.8
374,2024-02-28,293940.51
375,2024-03-06,291393.39
376,2024-03-13,296472.59
377,2024-03-20,295859.56
378,2024-03-27,294482.13
379,2024-04-03,294931.38
380,2024-04-10,297302.97
381,2024-04-17,297441.98
382,2024-04-24,300326.99
383,2024-05-02,300869.47
384,2024-05-08,298514.2
385,2024-05-15,296469.03
386,2024-05-22,294218.03
387,2024-05-29,297262.28
388,2024-06-05,298515.36
389,2024-06-13,301057.24
390,2024-06-19,302090.91
391,2024-06-26,303081.32
392,2024-07-03,303560.95
393,2024-07-10,303171.16
394,2024-07-17,304036.89
395,2024-07-24,299519.72
396,2024-07-31,295107.44
397,2024-08-07,294826.72
398,2024-08-14,291119.9
399,2024-08-21,294892.47
400,2024-08-28,294137.92
401,2024-09-04,294336.83
402,2024-09-11,297500.23
403,2024-09-18,297128.52
404,2024-09-25,299747.7
405,2024-10-02,299626.81
406,2024-10-09,297424.29
407,2024-10-16,298963.35
408,2024-10-23,297713.68
409,2024-10-30,297386.37
410,2024-11-06,298471.38
411,2024-11-13,297851.71
412,2024-11-20,296837.07
413,2024-11-27,299063.41
414,2024-12-04,299826.68
415,2024-12-11,299261.36
416,2024-12-18,300228.6
417,2024-12-25,295765.51
